Neighborhood,New_precinct
DOWNTOWN EAST,1
DOWNTOWN WEST,1
ELLIOT PARK,1
LORING PARK,1
NORTH LOOP,1
CEDAR RIVERSIDE,1
UNIVERSITY OF MINNESOTA,1
BELTRAMI,2
COMO,2
MARCY HOLMES,2
MID - CITY INDUSTRIAL,2
NICOLLET ISLAND - EAST BANK,2
PROSPECT PARK - EAST RIVER ROAD,2
ST. ANTHONY EAST,2
ST. ANTHONY WEST,2
AUDUBON PARK,2
BOTTINEAU,2
COLUMBIA PARK,2
HOLLAND,2
LOGAN PARK,2
MARSHALL TERRACE,2
NORTHEAST PARK,2
SHERIDAN,2
WAITE PARK,2
WINDOM PARK,2
EAST PHILLIPS,3
MIDTOWN PHILLIPS,3
PHILLIPS WEST,3
VENTURA VILLAGE,3
BANCROFT,3
BRYANT,3
CENTRAL,3
CORCORAN,3
POWDERHORN PARK,3
STANDISH,3
DIAMOND LAKE,3
ERICSSON,3
FIELD,3
HALE,3
KEEWAYDIN,3
MINNEHAHA,3
MORRIS PARK,3
NORTHROP,3
REGINA,3
WENONAH,3
COOPER,3
HIAWATHA,3
HOWE,3
LONGFELLOW,3
SEWARD,3
BRYN - MAWR,4
HARRISON,4
NEAR - NORTH,4
SUMNER - GLENWOOD,4
WILLARD - HAY,4
CLEVELAND,4
FOLWELL,4
HAWTHORNE,4
JORDAN,4
MCKINLEY,4
CAMDEN INDUSTRIAL,4
HUMBOLDT INDUSTRIAL AREA,4
LIND - BOHANON,4
SHINGLE CREEK,4
VICTORY,4
WEBBER - CAMDEN,4
CEDAR - ISLES - DEAN,5
EAST ISLES,5
KENWOOD,5
LOWRY HILL,5
LOWRY HILL EAST,5
STEVENS SQUARE - LORING HEIGHTS,5
WHITTIER,5
ARMATAGE,5
FULTON,5
KENNY,5
LYNNHURST,5
TANGLETOWN,5
WINDOM,5
CARAG,5
ECCO,5
WEST CALHOUN,5
EAST HARRIET,5
KING FIELD,5
LINDEN HILLS,5
LYNDALE,5
